;molecule_chembl_id;units;IC50;smiles;pIC50;MW;HBA;HBD;LogP;rule_of_five_conform
1255;CHEMBL3093818;nM;14300.0;O=C(Oc1coc(CSc2nnc(-c3ccccc3)s2)cc1=O)c1ccccc1;4.844663962534939;422.03949892799994;8;0;4.669800000000003;yes
1256;CHEMBL2115522;nM;15000.0;CC1=C(C(=O)OCc2ccccc2)N2C(=O)CC2[S+]1[O-];4.823908740944318;291.056528896;4;0;1.282;yes
1257;CHEMBL562191;nM;15000.0;COc1cc(C(C)(C)C)c2c(=O)oc(-c3cccnc3N3CCN(C)CC3)nc2c1;4.823908740944318;408.2161407560001;7;0;3.307900000000002;yes
1258;CHEMBL499116;nM;15400.0;C=C(C)C(O)CC/C(C)=C/Cc1c(O)cc2c(c1O)C(=O)C[C@@H](c1ccc(O)c(O)c1)O2;4.812479279163537;440.1835032359999;7;5;4.421500000000006;yes
1259;CHEMBL386313;nM;15500.0;Cc1ccc(C)n1-c1ccc(SCC(=O)O)cc1;4.809668301829708;261.08234972;3;1;3.2708400000000015;yes
1260;CHEMBL2029554;nM;15600.0;CC1(C)OC(=O)N(Cc2ccccc2)C1=O;4.806875401645539;219.089543276;3;0;1.944;yes
1261;CHEMBL2029559;nM;15600.0;COc1ccc(C(=O)N2C(=O)OC(c3ccccc3)C2=O)cc1;4.806875401645539;311.079372516;5;0;2.5555000000000003;yes
1262;CHEMBL2182013;nM;16000.0;CCCCNC(=O)CC[Si](O)(O)[C@H](CC(C)C)NC(=O)[C@@H](NC(=O)c1ccc2ccccc2c1)[C@@H](C)CC;4.795880017344076;543.31284807;5;5;3.787600000000004;yes
1263;CHEMBL10226;nM;16000.0;CC(=O)Oc1ccc(C(=O)c2ccccc2)cc1;4.795880017344076;240.078644244;3;0;2.842900000000001;yes
1264;CHEMBL218394;nM;17000.0;CC(C)(C)NC(=O)N[C@H](C(=O)N1C[C@H]2[C@@H]([C@H]1C(=O)NC(CC1CCC1)C(=O)C(N)=O)C2(C)C)C(C)(C)C;4.769551078621727;519.3420695399999;5;4;1.7112000000000023;yes
1265;CHEMBL39204;nM;17000.0;COc1cc(OC)c2c(c1)C(=O)c1cc(C(Br)Br)cc(OC)c1C2=O;4.769551078621727;467.920797748;5;0;4.276200000000003;yes
1266;CHEMBL24449;nM;17000.0;O=c1oc(-c2ccccc2)nc2ccccc12;4.769551078621727;223.063328528;3;0;2.8550000000000013;yes
1267;CHEMBL3219674;nM;17600.0;Nc1c(C(=O)NCc2cccs2)c2nc3ccccc3nc2n1/N=C/c1ccccn1;4.7544873321858505;427.1215291640001;8;2;3.4354000000000013;yes
1268;CHEMBL4164709;nM;17900.0;COc1cc([C@@H]2CC(=O)c3c(cc4c(c3O)CCC(C)(CCCC(C)(C)O)O4)O2)cc(O)c1O;4.747146969020106;472.20971798399984;8;4;4.543400000000006;yes
1269;CHEMBL41092;nM;18000.0;Cc1cc(O)c2c(c1)C(=O)c1cccc(O)c1C2=O;4.7447274948966935;254.0579088;4;2;2.18162;yes
1270;CHEMBL3093805;nM;18000.0;O=C(Oc1coc(CSc2nnc(NC(=O)C3CC3)s2)cc1=O)c1cccc(F)c1;4.7447274948966935;447.03589076799994;9;1;3.490400000000002;yes
1271;CHEMBL314222;nM;18000.0;CO[C@@H]1C(=O)N([C@@H](C2SCCCS2)C2OC(C)(C)OC2C2COC(C)(C)O2)[C@@H]1/C(C)=C/c1ccccc1;4.7447274948966935;549.2218799679999;8;0;4.552100000000004;yes
1273;CHEMBL1808500;nM;19000.0;CCOC(=O)c1nn(C(=O)c2ccc(Cl)cc2)c2ccccc12;4.721246399047171;328.061469956;5;0;3.5549000000000026;yes
1274;CHEMBL9816;nM;19000.0;CC(=O)NC(C)(C)C(=O)Oc1ccc(C(=O)c2ccccc2)cc1;4.721246399047171;325.131408088;4;1;2.737700000000001;yes
1275;CHEMBL40192;nM;19000.0;COc1cccc2c1C(=O)c1c(ccc(C)c1O)C2=O;4.721246399047171;268.073558864;4;1;2.484620000000001;yes
1276;CHEMBL4290118;nM;19100.0;N#Cc1cccc(C(=O)n2cc(C#N)c3cccnc32)c1;4.718966632752274;272.069810876;5;0;2.46816;yes
1277;CHEMBL215448;nM;19600.0;O=C(O)c1cc(Cl)ccc1-c1ccc(/C=c2\sc3nc(=O)c4c5c(sc4n3c2=O)CCCC5)o1;4.707743928643524;510.01109126000006;8;1;4.369000000000003;yes
